iter	Passed	Remaining
637	469009	266115
638	469553	265271
639	470114	264439
640	470666	263602
641	471470	262907
642	472172	262155
643	472751	261334
644	473331	260515
645	473912	259698
646	474486	258877
647	475309	258192
648	475964	257416
649	476572	256616
650	477171	255810
651	477759	255000
652	478347	254190
653	479153	253497
654	479780	252709
655	480372	251902
656	480938	251083
657	481497	250261
658	482038	249431
659	482742	248685
660	483502	247968
661	484087	247162
662	484684	246363
663	485282	245564
664	485846	244749
665	486610	244035
666	487189	243229
667	487743	242411
668	488317	241604
669	488884	240793
670	489460	239988
671	490207	239267
672	490977	238558
673	491561	237758
674	492104	236939
675	492683	236138
676	493298	235355
677	494161	234690
678	494799	233918
679	495387	233123
680	495936	232310
681	496470	231491
682	497081	230709
683	497763	229960
684	498481	229228
685	499017	228413
686	499595	227617
687	500184	226827
688	500746	226026
689	501596	225354
690	502235	224588
691	502857	223814
692	503408	223010
693	504004	222226
694	504538	221415
695	505387	220744
696	506060	219994
697	506679	219222
698	507242	218426
699	507779	217619
700	508377	216839
701	509266	216184
702	509901	215420
703	510461	214625
704	511014	213828
705	511588	213040
706	512162	212254
707	512915	211541
708	513677	210832
709	514263	210051
710	514821	209259
711	515401	208476
712	515964	207688
713	516837	207024
714	517451	206256
715	518044	205481
716	518791	204767
717	519356	203981
718	519877	203178
719	520800	202533
720	521437	201776
721	522012	200996
722	522597	200220
723	523125	199423
724	523674	198635
725	524432	197926
726	525132	197195
727	525712	196420
728	526294	195645
729	526861	194866
730	527449	194095
731	528352	193440
732	528980	192684
733	529564	191912
734	530126	191133
735	530714	190364
736	531275	189586
737	532130	188913
738	532759	188159
739	533324	187384
740	533931	186623
741	534502	185851
742	535061	185074
743	535877	184387
744	536500	183634
745	537084	182867
746	537665	182100
747	538250	181335
748	538829	180569
749	539649	179883
750	540280	179134
751	540925	178390
752	541458	177609
753	542027	176841
754	542609	176078
755	543404	175384
756	544059	174645
757	544577	173862
758	545196	173112
759	545785	172353
760	546340	171584
761	547197	170909
762	547821	170162
763	548411	169404
764	548994	168645
765	549563	167882
766	550153	167126
767	550983	166442
768	551626	165703
769	552191	164940
770	552781	164185
771	553350	163424
772	553892	162656
773	554628	161945
774	555312	161219
775	555867	160456
776	556443	159700
777	557014	158942
778	557599	158189
779	558418	157502
780	559069	156768
781	559681	156023
782	560279	155275
783	560867	154524
784	561400	153759
785	562209	153069
786	562815	152324
787	563349	151561
788	563874	150795
789	564436	150039
790	564952	149273
791	565540	148525
792	566397	147849
793	566956	147094
794	567538	146346
795	568113	145596
796	568692	144848
797	569563	144175
798	570133	143425
799	570705	142676
800	571278	141928
801	571834	141176
802	572424	140432
803	573194	139734
804	573895	139018
805	574495	138278
806	575056	137528
807	575601	136776
808	576234	136045
809	577058	135359
810	577796	134652
811	578355	133905
812	579000	133177
813	579576	132433
814	580136	131687
815	580938	130995
816	581565	130264
817	582125	129519
818	582697	128776
819	583238	128027
820	583813	127287
821	584671	126607
822	585328	125884
823	585857	125134
824	586434	124395
825	587029	123659
826	587602	122920
827	588494	122247
828	589096	121514
829	589681	120778
830	590255	120039
831	590834	119303
832	591407	118565
833	592188	117869
834	592859	117151
835	593463	116421
836	593993	115676
837	594530	114933
838	595087	114194
839	595841	113493
840	596586	112791
841	597121	112048
842	597639	111304
843	598246	110576
844	598776	109834
845	599550	109138
846	600221	108422
847	600815	107693
848	601404	106963
849	601974	106230
850	602537	105497
851	603422	104819
852	604044	104096
853	604580	103359
854	605144	102626
855	605686	101891
856	606254	101160
857	607002	100459
858	607817	99769
859	608416	99044
860	609004	98317
861	609623	97596
862	610159	96861
863	611084	96189
864	611753	95476
865	612289	94742
866	612830	94009
867	613389	93280
868	613948	92551
869	614745	91858
870	615505	91159
871	616056	90430
872	616634	89705
873	617205	88979
874	617719	88245
875	618625	87568
876	619260	86851
877	619787	86120
878	620317	85390
879	620899	84668
880	621518	83950
881	622312	83257
882	622962	82544
883	623523	81819
884	624049	81091
885	624619	80368
886	625202	79648
887	626026	78958
888	626691	78248
889	627285	77529
890	627914	76815
891	628492	76095
892	629054	75373
893	629841	74679
894	630432	73961
895	630969	73237
896	631528	72516
897	632071	71794
898	632634	71074
899	633492	70388
900	634185	69683
901	634748	68963
902	635335	68247
903	635956	67535
904	636536	66818
905	637407	66132
906	638022	65420
907	638557	64699
908	639139	63984
909	639701	63267
910	640263	62550
911	641022	61853
912	641736	61151
913	642288	60434
914	642820	59715
915	643417	59003
916	643974	58287
917	644914	57606
918	645455	56889
919	646051	56178
920	646659	55468
921	647220	54754
922	647788	54040
923	648549	53343
924	649255	52642
925	649822	51929
926	650405	51218
927	650983	50507
928	651536	49794
929	652336	49100
930	652936	48391
931	653492	47679
932	654078	46970
933	654673	46261
934	655218	45549
935	655933	44850
936	656675	44152
937	657229	43441
938	657781	42731
939	658380	42024
940	658907	41313
941	659750	40621
942	660404	39918
943	660931	39207
944	661501	38500
945	662089	37793
946	662607	37083
947	663353	36386
948	664075	35687
949	664644	34981
950	665227	34275
951	665871	33573
952	666399	32865
953	667307	32176
954	667881	31470
955	668427	30764
956	668965	30058
957	669537	29353
958	670124	28649
959	670826	27951
960	671629	27256
961	672163	26551
962	672704	25846
963	673264	25142
964	673839	24439
965	674650	23745
966	675309	23045
967	675885	22343
968	676635	21646
969	677232	20945
970	677820	20243
971	678702	19551
972	679284	18849
973	679870	18148
974	680443	17447
975	681003	16745
976	681569	16045
977	682290	15348
978	683064	14652
979	683648	13952
980	684188	13251
981	684780	12551
982	685331	11852
983	686170	11157
984	686830	10459
985	687395	9760
986	687961	9061
987	688518	8362
988	689033	7663
989	689765	6967
990	690558	6271
991	691146	5573
992	691715	4876
993	692338	4179
994	692898	3481
995	693760	2786
996	694364	2089
997	694990	1392
998	695577	696
999	696109	0
