iter	Passed	Remaining
398	101074	152245
399	101366	152050
400	101573	151727
401	101869	151536
402	102166	151348
403	102358	151003
404	102606	150743
405	102897	150544
406	103251	150438
407	103454	150111
408	103719	149873
409	103924	149549
410	104227	149366
411	104421	149028
412	104673	148773
413	104929	148522
414	105246	148358
415	105423	147998
416	105743	147838
417	105995	147581
418	106185	147240
419	106396	146928
420	106664	146695
421	107012	146571
422	107268	146320
423	107531	146080
424	107737	145761
425	107974	145486
426	108231	145237
427	108505	145012
428	108767	144769
429	109083	144598
430	109381	144403
431	109641	144158
432	109910	143923
433	110133	143630
434	110398	143390
435	110685	143180
436	110953	142945
437	111285	142791
438	111532	142528
439	111739	142214
440	111984	141948
441	112252	141712
442	112569	141538
443	112779	141228
444	113032	140972
445	113288	140722
446	113578	140512
447	113803	140222
448	114172	140109
449	114347	139757
450	114567	139462
451	114760	139134
452	115111	138997
453	115289	138652
454	115554	138411
455	115801	138149
456	115966	137789
457	116283	137610
458	116569	137393
459	116843	137164
460	117102	136916
461	117326	136627
462	117690	136500
463	117959	136263
464	118243	136043
465	118439	135722
466	118785	135573
467	118980	135250
468	119198	134955
469	119389	134630
470	119631	134363
471	119838	134056
472	120104	133816
473	120303	133501
474	120520	133206
475	120784	132964
476	121028	132699
477	121223	132382
478	121503	132156
479	121773	131921
480	121981	131617
481	122244	131374
482	122536	131162
483	122839	130961
484	123082	130695
485	123340	130446
486	123638	130239
487	123901	129994
488	124139	129725
489	124332	129407
490	124573	129140
491	124745	128802
492	124983	128532
493	125232	128274
494	125495	128031
495	125679	127706
496	125901	127421
497	126172	127186
498	126448	126954
499	126688	126688
500	126992	126485
501	127172	126159
502	127410	125890
503	127599	125574
504	127810	125279
505	128136	125097
506	128441	124894
507	128796	124740
508	129041	124478
509	129385	124311
510	129695	124111
511	130013	123919
512	130210	123611
513	130496	123388
514	130779	123161
515	131020	122895
516	131258	122626
517	131526	122386
518	131794	122145
519	132054	121896
520	132257	121595
521	132501	121332
522	132746	121070
523	132997	120814
524	133341	120641
525	133657	120443
526	133855	120139
527	134190	119958
528	134510	119762
529	134802	119542
530	134990	119228
531	135220	118953
532	135469	118694
533	135720	118437
534	136047	118246
535	136350	118034
536	136632	117804
537	136844	117513
538	137178	117327
539	137492	117123
540	137777	116894
541	138034	116641
542	138303	116399
543	138611	116189
544	138921	115980
545	139216	115758
546	139480	115510
547	139713	115238
548	140023	115028
549	140221	114726
550	140458	114457
551	140719	114206
552	140950	113933
553	141216	113687
554	141503	113458
555	141820	113252
556	142027	112959
557	142287	112707
558	142591	112492
559	142889	112270
560	143179	112042
561	143428	111782
562	143625	111482
563	143965	111292
564	144288	111089
565	144553	110841
566	144777	110562
567	145024	110300
568	145291	110053
569	145619	109853
570	145955	109658
571	146295	109466
572	146582	109233
573	146852	108988
574	147112	108735
575	147305	108433
576	147546	108166
577	147819	107923
578	148208	107764
579	148504	107537
580	148772	107290
581	148974	106995
582	149254	106756
583	149506	106497
584	149764	106243
585	150049	106007
586	150294	105743
587	150546	105485
588	150782	105214
589	151037	104958
590	151342	104735
591	151527	104430
592	151795	104183
593	152023	103908
594	152221	103613
595	152539	103399
596	152788	103138
597	153032	102874
598	153304	102629
599	153551	102367
600	153767	102084
601	154023	101829
602	154368	101632
603	154566	101338
604	154851	101101
605	155147	100871
606	155348	100579
607	155672	100367
608	155987	100149
609	156353	99963
610	156625	99717
611	156898	99471
612	157142	99207
613	157399	98951
614	157600	98660
615	157907	98436
616	158096	98137
617	158363	97888
618	158648	97649
619	158867	97370
620	159146	97128
621	159425	96885
622	159731	96659
623	159974	96394
624	160193	96115
625	160507	95894
626	160774	95644
627	160969	95351
628	161243	95105
629	161451	94820
630	161763	94596
631	162031	94347
632	162307	94102
633	162638	93888
634	162859	93612
635	163214	93412
636	163472	93156
637	163764	92919
638	164114	92715
639	164380	92463
640	164560	92164
641	164837	91918
642	165113	91672
643	165376	91419
644	165658	91176
645	165942	90934
646	166198	90677
647	166474	90430
648	166695	90154
649	166953	89898
650	167224	89648
651	167537	89421
652	167795	89165
653	168106	88936
654	168289	88640
655	168493	88356
656	168784	88117
657	168985	87831
658	169327	87618
659	169543	87340
660	169757	87061
661	169958	86776
662	170243	86534
663	170569	86312
664	170756	86020
665	171005	85759
666	171201	85472
667	171403	85188
668	171653	84928
669	171853	84644
670	172117	84391
671	172327	84112
672	172554	83841
673	172846	83602
674	173177	83381
675	173424	83120
676	173726	82885
677	173956	82616
678	174198	82353
679	174532	82133
680	174771	81867
681	175051	81622
682	175332	81376
683	175572	81112
684	175903	80889
685	176283	80689
686	176558	80440
687	176759	80158
688	177032	79908
689	177331	79670
690	177640	79436
691	177931	79194
692	178234	78958
693	178476	78694
694	178731	78435
695	179003	78185
696	179186	77896
697	179457	77644
698	179768	77411
699	179992	77139
700	180304	76905
701	180501	76623
702	180741	76358
703	180986	76096
704	181314	75869
705	181506	75584
706	181765	75328
707	181965	75047
708	182304	74824
709	182546	74561
710	182788	74298
711	183098	74062
712	183392	73819
713	183678	73574
714	183947	73321
715	184239	73078
716	184583	72855
717	184829	72593
718	185095	72339
719	185350	72080
720	185674	71849
721	185867	71566
722	186150	71319
723	186454	71079
724	186696	70815
725	186944	70554
726	187136	70272
727	187385	70012
728	187704	69777
729	187973	69524
730	188155	69239
731	188391	68973
732	188656	68719
733	188941	68471
734	189294	68248
735	189574	67999
736	189756	67715
737	189998	67452
738	190240	67189
739	190539	66946
740	190788	66685
741	190985	66407
742	191254	66153
743	191437	65871
744	191638	65594
745	191824	65312
746	192165	65084
747	192460	64839
748	192662	64563
749	192896	64298
750	193277	64082
751	193549	63830
752	193793	63568
753	194130	63336
754	194395	63082
755	194646	62822
756	195033	62606
757	195380	62377
758	195592	62105
759	195901	61863
760	196090	61584
761	196384	61337
762	196661	61086
763	196860	60810
764	197159	60565
765	197364	60291
766	197654	60043
767	197991	59809
768	198285	59563
769	198507	59294
770	198730	59026
771	199001	58772
772	199319	58532
773	199508	58254
774	199852	58021
775	200151	57775
776	200406	57517
777	200711	57272
778	200910	56997
779	201139	56731
780	201408	56476
781	201729	56236
782	201989	55979
783	202272	55728
784	202581	55483
785	202834	55224
786	203072	54961
787	203317	54699
788	203659	54463
789	203944	54213
790	204201	53954
791	204501	53707
792	204720	53438
793	204988	53183
794	205177	52907
795	205388	52637
796	205688	52390
797	205976	52139
798	206223	51878
799	206500	51625
800	206775	51371
801	206956	51093
802	207260	50847
803	207601	50609
804	207906	50362
805	208229	50119
806	208462	49855
807	208775	49609
808	209029	49350
809	209345	49105
810	209687	48866
811	210270	48683
812	210700	48463
813	211143	48246
814	211696	48053
815	212052	47815
816	212331	47560
817	212635	47310
818	212910	47053
819	213172	46793
820	213369	46520
821	213702	46276
822	213981	46020
823	214243	45760
824	214515	45503
825	214716	45230
826	215072	44991
827	215418	44748
828	215656	44483
829	215896	44219
830	216081	43944
831	216295	43675
832	216589	43421
833	216857	43163
834	217144	42908
835	217461	42660
836	217757	42406
837	217995	42142
838	218237	41878
839	218431	41605
840	218666	41341
841	219009	41096
842	219247	40832
843	219451	40562
844	219693	40298
845	220020	40050
846	220302	39794
847	220590	39539
848	220946	39296
849	221208	39036
850	221473	38777
851	221782	38525
852	222051	38266
853	222344	38012
854	222617	37753
855	222854	37489
856	223077	37222
857	223378	36969
858	223585	36700
859	223891	36447
860	224081	36175
861	224309	35910
862	224649	35662
863	224942	35407
864	225212	35148
865	225502	34893
866	225841	34644
867	226088	34382
868	226345	34121
869	226690	33873
870	226954	33613
871	227254	33358
872	227520	33098
873	227807	32841
874	228156	32593
875	228474	32341
876	228733	32080
877	228998	31819
878	229264	31559
879	229458	31289
880	229750	31033
881	229952	30764
882	230202	30502
883	230404	30234
884	230686	29976
885	231003	29722
886	231262	29461
887	231458	29192
888	231661	28925
889	231887	28660
890	232080	28391
891	232421	28140
892	232720	27884
893	233002	27626
894	233283	27368
895	233517	27104
896	233758	26841
897	234041	26583
898	234306	26323
899	234562	26062
900	234861	25806
901	235175	25551
902	235427	25289
903	235707	25030
904	235905	24763
905	236247	24511
906	236521	24251
907	236791	23992
908	237070	23733
909	237264	23465
910	237592	23211
911	237938	22958
912	238239	22701
913	238530	22443
914	238793	22182
915	239073	21923
916	239432	21671
917	239751	21415
918	239977	21151
919	240264	20892
920	240563	20634
921	240874	20377
922	241162	20118
923	241433	19858
924	241770	19602
925	241989	19338
926	242226	19075
927	242503	18814
928	242738	18551
929	243044	18293
930	243335	18034
931	243599	17773
932	243941	17517
933	244225	17257
934	244590	17003
935	244861	16742
936	245133	16481
937	245428	16222
938	245714	15962
939	245994	15701
940	246269	15440
941	246455	15174
942	246719	14913
943	246942	14649
944	247219	14388
945	247440	14124
946	247722	13864
947	248078	13607
948	248383	13348
949	248701	13089
950	248952	12827
951	249274	12568
952	249573	12308
953	249854	12047
954	250168	11788
955	250456	11527
956	250793	11268
957	250982	11003
958	251259	10742
959	251537	10480
960	251824	10219
961	252096	9958
962	252370	9696
963	252621	9433
964	252956	9174
965	253243	8913
966	253536	8652
967	253842	8391
968	254082	8128
969	254364	7866
970	254631	7604
971	254821	7340
972	255095	7078
973	255344	6816
974	255584	6553
975	255882	6292
976	256127	6029
977	256306	5765
978	256611	5504
979	256840	5241
980	257139	4980
981	257408	4718
982	257655	4455
983	257948	4194
984	258154	3931
985	258429	3669
986	258757	3408
987	259051	3146
988	259379	2884
989	259651	2622
990	259954	2360
991	260205	2098
992	260533	1836
993	260819	1574
994	261063	1311
995	261324	1049
996	261626	787
997	261910	524
998	262219	262
999	262485	0
