iter	Logloss
0	0.5969775827
1	0.5192189669
2	0.4560333706
3	0.4009827676
4	0.3587264776
5	0.3233170567
6	0.2943921304
7	0.2702005686
8	0.2502152849
9	0.2329114805
10	0.2191638892
11	0.2077256894
12	0.1980543235
13	0.1892163068
14	0.1821540644
15	0.1757611678
16	0.1703235038
17	0.1660410033
18	0.162239275
19	0.1590574851
20	0.1561463062
21	0.1537235846
22	0.1516640175
23	0.1497232548
24	0.1481208863
25	0.146493752
26	0.145135587
27	0.1440817121
28	0.1431184509
29	0.1421871172
30	0.141480087
31	0.1409462523
32	0.1402166837
33	0.1396855655
34	0.1390759102
35	0.1384442277
36	0.1381039551
37	0.1377254952
38	0.1373300131
39	0.1370304416
40	0.1365544545
41	0.1362619926
42	0.1360643347
43	0.1358751004
44	0.1356286926
45	0.1355096335
46	0.1353109606
47	0.1351590686
48	0.1348338704
49	0.1346853807
50	0.1344667692
51	0.134339511
52	0.1342440493
53	0.1341280471
54	0.134028137
55	0.133838068
56	0.1337092155
57	0.1335884751
58	0.133488229
59	0.1333162962
60	0.1332554272
61	0.1331070736
62	0.1330106838
63	0.132940462
64	0.132882967
65	0.1327917316
66	0.1326643484
67	0.132616236
68	0.1324457094
69	0.1324011202
70	0.1323488519
71	0.1322596863
72	0.1322224147
73	0.1321609851
74	0.1321405272
75	0.1320211473
76	0.1319316999
77	0.1318937516
78	0.1318221918
79	0.1317907616
80	0.1316739242
81	0.1316447219
82	0.1315528732
83	0.1315221622
84	0.1314972488
85	0.1314800319
86	0.1314299766
87	0.1313676086
88	0.1312372114
89	0.1311780236
90	0.1311336506
91	0.1310528005
92	0.1309872873
93	0.130959154
94	0.1309221165
95	0.1308817803
96	0.1308340214
97	0.130742699
98	0.1306942347
99	0.1306723511
100	0.1306291775
101	0.1306013055
102	0.1305771256
103	0.1305239888
104	0.130478999
105	0.1304550815
106	0.1304262759
107	0.1303504671
108	0.1303231037
109	0.1302718984
110	0.1302559493
111	0.1302125012
112	0.1301548302
113	0.1300920128
114	0.1300489844
115	0.1300287778
116	0.1300009237
117	0.1299723541
118	0.1298912722
119	0.1298602262
120	0.1298308687
121	0.1297948548
122	0.1297690247
123	0.1297452259
124	0.1296912112
125	0.1296548195
126	0.1296274944
127	0.1295979779
128	0.1295705587
129	0.1295493446
130	0.1294993484
131	0.1294189037
132	0.1294007219
133	0.1293764637
134	0.1293479921
135	0.1292948109
136	0.1292701567
137	0.1291988367
138	0.1291648125
139	0.1291321999
140	0.1291013486
141	0.1290912148
142	0.1290688125
143	0.1290590327
144	0.1290212666
145	0.128993976
146	0.1289555201
147	0.1289207195
148	0.1288688973
149	0.128833709
150	0.1287873055
151	0.1287450381
152	0.1286978512
153	0.1286597556
154	0.128646557
155	0.1286191492
156	0.1285901015
157	0.1285766465
158	0.1285300681
159	0.1285165771
160	0.128490252
161	0.1284694623
162	0.128440624
163	0.1284170903
164	0.1284078947
165	0.1283891869
166	0.1283713103
167	0.1283505896
168	0.1283393591
169	0.1283175011
170	0.1282895345
171	0.1282481941
172	0.1282233604
173	0.1282108619
174	0.128194511
175	0.1281809429
176	0.1281650052
177	0.1281417721
178	0.1281149931
179	0.1280657917
180	0.1280216889
181	0.1279978228
182	0.127970831
183	0.127945585
184	0.1279297793
185	0.127903402
186	0.1278800208
187	0.1278542946
188	0.1278405542
189	0.1278120227
190	0.1277928998
191	0.1277721556
192	0.1277327289
193	0.1277193753
194	0.1277004814
195	0.127671898
196	0.1276565312
197	0.1276381708
198	0.1276169427
199	0.1276022751
200	0.1275880414
201	0.1275749181
202	0.1275463227
203	0.1275024012
204	0.1274873506
205	0.1274670113
206	0.1274478772
207	0.1274313055
208	0.127392465
209	0.1273670799
210	0.1273610587
211	0.1273471147
212	0.1273315915
213	0.1273221445
214	0.1272942884
215	0.1272826902
216	0.1272620438
217	0.1272443295
218	0.1272050277
219	0.1271628873
220	0.1271452011
221	0.1271348298
222	0.1271043688
223	0.1270676397
224	0.1270462692
225	0.127031506
226	0.1270139918
227	0.1269852299
228	0.1269302684
229	0.1269167264
230	0.126904656
231	0.1268768217
232	0.1268635822
233	0.1268487463
234	0.1268259079
235	0.1268060316
236	0.1267911735
237	0.1267710306
238	0.1267164438
239	0.1266676682
240	0.1266212231
241	0.126607289
242	0.1265525464
243	0.1265252931
244	0.1264992002
245	0.1264770434
246	0.1264613345
247	0.1264447962
248	0.1264175236
249	0.1263946035
250	0.1263628123
251	0.1263488375
252	0.1263195178
253	0.126305793
254	0.1262576808
255	0.1262496693
256	0.1262387528
257	0.1262249107
258	0.1261985321
259	0.126172474
260	0.1261586423
261	0.1261496206
262	0.1261404457
263	0.1261161675
264	0.1260974057
265	0.126089823
266	0.1260584434
267	0.1260428783
268	0.1260293989
269	0.1260197354
270	0.1260064046
271	0.1259738337
272	0.1259479601
273	0.1259179942
274	0.1258978606
275	0.1258799403
276	0.1258632709
277	0.1258462326
278	0.1258315648
279	0.1258034301
280	0.1257893045
281	0.1257730326
282	0.1257572489
283	0.1257440406
284	0.125734518
285	0.125717526
286	0.1256997353
287	0.1256799263
288	0.1256632945
289	0.1256341328
290	0.125616608
291	0.1256056084
292	0.1255945857
293	0.1255883119
294	0.1255610856
295	0.1255417455
296	0.1255199083
297	0.1254763767
298	0.1254677177
299	0.1254527141
300	0.125426421
301	0.1254089611
302	0.1254033098
303	0.1253842037
304	0.1253717944
305	0.1253531893
306	0.1253253525
307	0.1253166004
308	0.1253074365
309	0.1252918763
310	0.1252717656
311	0.1252510356
312	0.1252316584
313	0.1252205452
314	0.1252089707
315	0.1251883196
316	0.1251631827
317	0.1251225945
318	0.1250862668
319	0.1250662836
320	0.1250572915
321	0.1250404629
322	0.125030523
323	0.1250187354
324	0.1249916239
325	0.1249711081
326	0.1249614917
327	0.1249488129
328	0.1248991322
329	0.1248573209
330	0.1248383215
331	0.1248182366
332	0.1247995389
333	0.1247826318
334	0.1247631819
335	0.1247398281
336	0.1247291375
337	0.1247039601
338	0.1246939819
339	0.1246784098
340	0.1246513361
341	0.1246202375
342	0.124601058
343	0.1245746816
344	0.1245631619
345	0.1245503758
346	0.1245351163
347	0.1245234672
348	0.1245112407
349	0.1244879382
350	0.1244744007
351	0.1244553934
352	0.1244406839
353	0.1244319453
354	0.1244214136
355	0.1243853418
356	0.1243619475
357	0.1243437917
358	0.1243243073
359	0.1242989898
360	0.1242882251
361	0.1242618278
362	0.1242474685
363	0.124232613
364	0.1242039205
365	0.1241619391
366	0.1241384289
367	0.1241278021
368	0.1240969853
369	0.1240821973
370	0.1240588584
371	0.1240527374
372	0.1240412114
373	0.1240077879
374	0.1239741688
375	0.1239525134
376	0.1239123094
377	0.1238784511
378	0.1238515321
379	0.1238371957
380	0.1238134818
381	0.1237860647
382	0.1237753399
383	0.1237220954
384	0.1237001463
385	0.1236753715
386	0.1236504068
387	0.1236368653
388	0.1236133109
389	0.1235849273
390	0.1235662196
391	0.1235575104
392	0.1235372339
393	0.1235133527
394	0.1234686827
395	0.1234542518
396	0.1234415333
397	0.1234141342
398	0.1234023362
399	0.1233844217
400	0.1233737197
401	0.1233494782
402	0.1233277235
403	0.123316597
404	0.1232865042
405	0.1232646115
406	0.1232233116
407	0.1232099404
408	0.123202105
409	0.1231814109
410	0.1231559914
411	0.1231443892
412	0.1230974211
413	0.1230865638
414	0.1230587926
415	0.1230476321
416	0.1230068572
417	0.1229787319
418	0.1229666615
419	0.1229440838
420	0.1229192898
421	0.1228860406
422	0.1228657499
423	0.1228551875
424	0.122847672
425	0.1228347843
426	0.1228181205
427	0.1227980328
428	0.1227705251
429	0.1227476443
430	0.1227319995
431	0.1227227866
432	0.1226897113
433	0.1226700391
434	0.1226556703
435	0.1226362296
436	0.1226239929
437	0.1225644702
438	0.1225465774
439	0.1225319873
440	0.1225145341
441	0.1225005151
442	0.1224843915
443	0.1224735059
444	0.1224603307
445	0.122443249
446	0.1224250335
447	0.1224045961
448	0.1223758786
449	0.1223688746
450	0.1223456894
451	0.1223379151
452	0.1223063049
453	0.1222913045
454	0.1222800493
455	0.1222665996
456	0.1222567046
457	0.1222351683
458	0.1222153667
459	0.1222047816
460	0.1221853714
461	0.1221748195
462	0.1221288152
463	0.1221044867
464	0.1220557912
465	0.1220385103
466	0.1220118355
467	0.1219992404
468	0.1219876646
469	0.1219695654
470	0.1219618977
471	0.1219491621
472	0.1219358209
473	0.1219185779
474	0.1219075299
475	0.1218872001
476	0.1218802638
477	0.1218710017
478	0.1218541668
479	0.1218423086
480	0.1218276172
481	0.1218132367
482	0.1217860244
483	0.121747236
484	0.121734106
485	0.1217237315
486	0.1217078564
487	0.1216985558
488	0.121684824
489	0.1216778937
490	0.1216708549
491	0.1216658848
492	0.1216487837
493	0.1216279405
494	0.1215991872
495	0.1215950483
496	0.121583065
497	0.1215564327
498	0.1215208534
499	0.1215004004
500	0.1214856315
501	0.1214703128
502	0.1214598991
503	0.1214465609
504	0.121431737
505	0.1214091762
506	0.1213805439
507	0.1213558496
508	0.1213488292
509	0.1213160493
510	0.1212866879
511	0.1212648011
512	0.1212505372
513	0.1212289871
514	0.1212125552
515	0.1211967005
516	0.121180458
517	0.1211543634
518	0.1211438129
519	0.1211328115
520	0.1211193076
521	0.121104811
522	0.1210879959
523	0.1210767498
524	0.1210574686
525	0.121019092
526	0.1210021267
527	0.1209621723
528	0.1209327698
529	0.1209148574
530	0.1209046529
531	0.1208898407
532	0.120873653
533	0.12085485
534	0.1208467339
535	0.1208250546
536	0.1208113001
537	0.120786702
538	0.1207388602
539	0.1207107442
540	0.1206971043
541	0.1206726719
542	0.1206309435
543	0.1206220136
544	0.1206068041
545	0.1205807457
546	0.1205547064
547	0.1205354765
548	0.1205125545
549	0.12050079
550	0.1204897877
551	0.1204740517
552	0.1204558845
553	0.1204479067
554	0.1204204462
555	0.1203939114
556	0.1203809169
557	0.1203596949
558	0.1203405969
559	0.1203219102
560	0.1202972636
561	0.1202776549
562	0.1202536325
563	0.1202187277
564	0.1201921874
565	0.1201763254
566	0.1201634158
567	0.1201498601
568	0.1201370873
569	0.1200930802
570	0.1200545539
571	0.1200315031
572	0.1199911303
573	0.1199835828
574	0.1199714759
575	0.1199634374
576	0.119946592
577	0.1199259293
578	0.1198926686
579	0.1198765932
580	0.1198461064
581	0.1198266748
582	0.119812253
583	0.1197921293
584	0.119771724
585	0.1197553335
586	0.1197329496
587	0.1197222091
588	0.1197083169
589	0.1196852872
590	0.119674745
591	0.1196555088
592	0.1196405484
593	0.119628607
594	0.1196187984
595	0.1195956202
596	0.1195750823
597	0.119567475
598	0.1195471376
599	0.1195243143
600	0.1195160725
601	0.1195033215
602	0.1194659033
603	0.1194511254
604	0.1194364068
605	0.1194116033
606	0.1193935224
607	0.1193792416
608	0.1193566769
609	0.1193134627
610	0.1192976845
611	0.1192879325
612	0.1192696447
613	0.1192591581
614	0.1192407053
615	0.11921497
616	0.1192057819
617	0.1191893861
618	0.1191784418
619	0.1191640647
620	0.119155468
621	0.1191442421
622	0.1191262886
623	0.1191103451
624	0.119102271
625	0.1190861509
626	0.1190772908
627	0.1190647
628	0.1190470193
629	0.1190383299
630	0.1190226252
631	0.1190011001
632	0.1189793739
633	0.1189557205
634	0.1189372587
635	0.118893801
636	0.1188712656
637	0.1188524321
638	0.1188381821
639	0.1188228641
640	0.1188144127
641	0.1187984085
642	0.1187733954
643	0.1187501484
644	0.1187265526
645	0.1187082564
646	0.118697817
647	0.1186853749
648	0.1186774264
649	0.1186674007
650	0.1186535394
651	0.1186291386
652	0.1186123149
653	0.1185890262
654	0.118582431
655	0.1185705504
656	0.1185585447
657	0.1185476505
658	0.1185358901
659	0.1185232037
660	0.1185166998
661	0.1185062356
662	0.1184922949
663	0.1184640744
664	0.1184454965
665	0.1184326014
666	0.1184278657
667	0.118408747
668	0.1183956808
669	0.1183892249
670	0.1183767749
671	0.1183661666
672	0.1183588177
673	0.1183247162
674	0.1183080932
675	0.1183027841
676	0.1182723419
677	0.1182579866
678	0.1182256755
679	0.1181860482
680	0.1181659105
681	0.1181388577
682	0.1181214225
683	0.1180968993
684	0.1180756972
685	0.1180528923
686	0.1180229093
687	0.1180107477
688	0.1180040372
689	0.1179854511
690	0.1179704875
691	0.1179585533
692	0.1179458099
693	0.1179231864
694	0.1178964866
695	0.117881889
696	0.117875467
697	0.1178558944
698	0.1178293731
699	0.1178068661
700	0.117783273
701	0.1177695906
702	0.1177460292
703	0.117733757
704	0.1177108637
705	0.1176995395
706	0.117677076
707	0.1176566498
708	0.1176363406
709	0.1176265128
710	0.1176077272
711	0.1175998094
712	0.1175912658
713	0.1175782938
714	0.1175511106
715	0.1175378307
716	0.1175079436
717	0.1174912565
718	0.1174689199
719	0.1174640623
720	0.1174377189
721	0.117420702
722	0.1173867522
723	0.1173683569
724	0.1173542392
725	0.1173327309
726	0.1173249366
727	0.1172959399
728	0.117266056
729	0.1172496942
730	0.1172463949
731	0.1172300507
732	0.1172166613
733	0.1172097607
734	0.1171941317
735	0.1171704475
736	0.1171647989
737	0.1171466379
738	0.1171351165
739	0.1171042572
740	0.1170882876
741	0.1170691708
742	0.1170487002
743	0.1170397145
744	0.1170254656
745	0.1170090018
746	0.1169724863
747	0.1169520709
748	0.1169360887
749	0.1169243616
750	0.1168893324
751	0.1168824834
752	0.1168746768
753	0.1168574933
754	0.1168449759
755	0.116829313
756	0.1167984567
757	0.1167882016
758	0.1167795877
759	0.1167614008
760	0.1167505844
761	0.116732357
762	0.1167146043
763	0.1166989246
764	0.1166898173
765	0.1166718827
766	0.1166461657
767	0.1166149636
768	0.1165880826
769	0.1165808844
770	0.116556126
771	0.1165384697
772	0.1165238477
773	0.1165151108
774	0.1164940895
775	0.1164630505
776	0.1164550832
777	0.1164323329
778	0.116419745
779	0.1164078788
780	0.1163896072
781	0.1163385244
782	0.1163262068
783	0.1163141913
784	0.1162959732
785	0.1162837346
786	0.1162732983
787	0.1162555255
788	0.1162373674
789	0.1162180972
790	0.116196077
791	0.1161848515
792	0.116171253
793	0.1161616831
794	0.1161537021
795	0.1161363439
796	0.1161249034
797	0.1161059122
798	0.1160813792
799	0.1160702536
800	0.1160586146
801	0.1160517764
802	0.1160350285
803	0.1160119948
804	0.1159938295
805	0.1159729823
806	0.1159546064
807	0.1159300935
808	0.1159163957
809	0.115902269
810	0.1158823049
811	0.1158653242
812	0.1158520753
813	0.115831965
814	0.1158271011
815	0.1158135575
816	0.115806797
817	0.1157871843
818	0.1157676852
819	0.1157559089
820	0.115734978
821	0.1157206654
822	0.1157070021
823	0.1156912419
824	0.115675318
825	0.1156644471
826	0.1156383192
827	0.1156165144
828	0.1156028999
829	0.1155923802
830	0.1155844519
831	0.1155767975
832	0.115549326
833	0.1155277492
834	0.115504389
835	0.1154887797
836	0.115471364
837	0.1154598424
838	0.1154490505
839	0.1154383634
840	0.1154133905
841	0.1153851501
842	0.1153753896
843	0.1153576172
844	0.115343557
845	0.1153092516
846	0.1152925969
847	0.1152617786
848	0.1152423908
849	0.1152245108
850	0.1152074154
851	0.1151801932
